iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
factor(state)3,Conditional,8.190529172715685e-6,0.04063574024253817,-0.7567595099680411,8864,0.04064474982462815,2.2166656527254638e-4,1838964.0258121137,183164846.17924914,8859.607711131956,-1.1518988965042671,-0.361620123431815,0.20160543103951378,"0.47 (0.32, 0.70)",0.3160360794290777,0.6965469194434504,W3
factor(state)30,Conditional,1.2998447094914552e-6,0.1078959602560483,-0.3670533621879243,8864,0.10789739008522875,1.3251749456693724e-5,512624859.7967815,51250260449.678894,8861.027233735625,-1.0108571994647413,0.2767504750888926,0.3284773813906047,"0.69 (0.36, 1.32)",0.36390690503135953,1.3188372472274925,W3
factor(state)31,Conditional,1.215783187765955e-6,0.28576022364439196,0.03654837232551293,8864,0.2857615610058985,4.679990905127179e-6,4109500857.3591356,410915469555.0282,8861.027233735625,-1.0111831148160628,1.0842798594670886,0.5345667039817374,"1.04 (0.36, 2.96)",0.36378832150970264,2.9573093733734073,W3
factor(state)32,Conditional,4.922067906534787e-6,0.0378463382034728,-0.030029928599124265,8864,0.03785175247816999,1.430389438457521e-4,4410129.87400458,439879699.7024946,8860.55458253888,-0.41135124879534585,0.35129139159709727,0.19455526844105248,"0.97 (0.66, 1.42)",0.6627540991331283,1.420901304294731,W3
factor(state)33,Conditional,2.287174015035182e-6,0.032441830690501876,0.03186531646758463,8864,0.032444346581918415,7.754483235427013e-5,14987968.320395496,1496706988.9737675,8861.027233735625,-0.3211695565412252,0.38490018947639437,0.18012314282711817,"1.03 (0.73, 1.47)",0.7253002611599387,1.4694676457862317,W3
factor(state)34,Conditional,2.035022830303778e-6,0.16049456351330735,-0.5911661826175777,8864,0.16049680203842068,1.3947474871170856e-5,462764844.57513666,46264868722.82292,8861.027233735625,-1.3763679757357221,0.19403561050056672,0.4006205212397646,"0.55 (0.25, 1.21)",0.25249395384146694,1.2141395183024168,W3
factor(state)35,Conditional,2.4438606484847353e-6,0.18704361390625437,-0.38749703407050284,8864,0.18704630215296772,1.437209227015214e-5,435827730.40288156,43571500466.0373,8861.027233735625,-1.2351589167357884,0.46016484859478257,0.43248849944590173,"0.68 (0.29, 1.58)",0.29078854752901523,1.5843351388897746,W3
factor(state)36,Conditional,2.699833012891469e-6,0.04013851050453677,-0.31100363724150903,8864,0.04014148032085095,7.398372681931177e-5,16464489.182206038,1644258518.5056417,8861.027233735625,-0.7036890633541588,0.08168178887114069,0.20035338859338253,"0.73 (0.49, 1.09)",0.4947567440551032,1.0851104606608648,W3
factor(state)37,Conditional,1.1054090233087395e-6,0.10544760006202504,0.77307038872209,8864,0.10544881601195068,1.1531186139650995e-5,676993785.5609919,67685328968.80841,8861.027233735625,0.13661356817937087,1.4095272092648092,0.32472883458656804,"2.17 (1.15, 4.09)",1.1463850632476549,4.094019332018906,W3
factor(state)4,Conditional,1.7451696156887138e-6,0.23814853989400603,-0.09993047850071579,8864,0.23815045958058328,8.060814077950659e-6,1385312370.4358892,138511139088.87033,8861.027233735625,-1.0564058747468397,0.8565449177454081,0.48800661837784876,"0.90 (0.35, 2.36)",0.34770325630275717,2.355009868123074,W3
